address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url
Челябинск,Коммерсантъ Южный Урал,,13 октября 2020," «Коммерсантъ Южный Урал» –деловое издание в Челябинской, Курганской области Ключевыми являются отраслевые темы, бизнес, экономика, инвестиционная политика, а также важные социально-политические события региона. «Коммерсантъ» – авторитетное и влиятельное медиа для людей, принимающих решения. Газета зарегистрирована в Комитете РФ по печати. Свидетельство о регистрации № 01243 22 декабря 1997 г. Мы ищем менеджера рекламных проектов, по продажам и работе с клиентами. Вам предстоит: - Поддерживать существующую клиентскую базу в активном состоянии, привлекать новых клиентов; - Вести переговоры с первыми лицами компаний; - Выполнять план продаж; Наши ожидания. Вы: - ответственны и обладаете здравомыслием; - готовы много общаться с клиентами, легко находите общий язык с людьми; - внимательны к деталям и настойчивы в достижении целей; - быстро учитесь новому и способны развивать в себе недостающие навыки; Приветствуются: - опыт работы в СМИ; Мы предлагаем вам: - оформление и социальный пакет по ТК РФ; - возможность ведения крупных Федеральных клиентов; - работа в центре города; Вас ждет интересная работа в коллективе авторитетного и уважаемого издания. ",,3–6 лет,Менеджер в отдел рекламы газеты Коммерсантъ-Южный Урал,,40000,18000,полный день,"Активные продажи,Холодные продажи,Ведение переговоров,Развитие продаж,Поиск и привлечение клиентов,Прямые продажи,Проведение презентаций,Навыки продаж,Работа в команде,Управление проектами,Телефонные переговоры,Заключение договоров,Деловая переписка,Деловое общение",Полная занятость,https://tyumen.hh.ru/vacancy/39763834
Челябинск,Канцбюро,,14 октября 2020," Мы предлагаем нашим сотрудникам: Трудоустраиваем официально, у наших сотрудников оплачиваемый отпуск/больничные, многие сотрудники «вырастают» в Компании и работают десятилетиями. Заработную плату платим своевременно, 2 раза в месяц; Удобный и стабильный график работы в будни 9 00 – 18 00; Повышаем профессиональный уровень сотрудников за счет корпоративного обучения; Отличное конкурентное товарное предложение от лучших и крупнейших производителей товаров для офиса, школы и детского творчества; Выверенная система сотрудничества с клиентами, программы лояльности, акции и спецпредложения; У нас молодой дружный коллектив, обеспечиваем поддержку новичков на этапе адаптации (система наставничества); У нас насыщенная корпоративная жизнь. Для наших сотрудников действует корпоративная скидка на нашу продукцию Чем нужно заниматься: Разработка дизайнов рекламной продукции: визитки, листовки, презентации, баннеры и др.; Фото и обработка изображений товаров; Верстка каталога; Разработка дизайнов упаковки товарной линейки; Предпечатная подготовка, взаимодействие с типографиями; Размещение информации на сайте и в соц.сетях. От вас потребуется: Портфолио ваших работ!! Работа в штате компании (полный рабочий день, полная занятость), не рассматриваем сотрудников на удалении. Умение работать в ­­­­­­­Adobe InDesign, Corel Draw, Adobe Photoshop и других графических редакторах Успешный опыт работы на аналогичной должности от 1 года Профильное образование Умение работать над несколькими проектами одновременно. Стилистическая, орфографическая и техническая грамотность Активность, системность, целеустремленность, желание профессионально развиваться Творческий подход к выполнению задач, креативность, инициативность, работа в команде. Не упустите шанс стать частью нашей команды! ",,1–3 года,Графический дизайнер,,30000,25000,полный день,"Adobe Photoshop,Adobe InDesign,CorelDRAW,Графический дизайн,Верстка",Полная занятость,https://tyumen.hh.ru/vacancy/39502831
Челябинск,Областное государственное бюджетное учреждение Челябинский региональный центр навигационно-информационных технологий,"в соответствии с Федеральным законом от 27.07.2004 № 79-ФЗ ""О государственной гражданской службе Российской Федерации"", указом Президента РФ от 01.02.2005 N 112 «О конкурсе на замещение вакантной должности государственной гражданской службы Российской Федерации»,Работа на Государственной службе.,Размер и порядок оплаты труда регулируется Федеральным законом ""О государственной гражданской службе"" и зависит от стажа работы и государственного чина.,График работы: 5-дневная рабочая неделя, с 08:30 до 17:30 ч",14 октября 2020," Заместитель начальника (консультант) отдела электронного правительства управления реализации проектов - вакансия Министерства информационных технологий, связи и цифрового развития Челябинской области. Министерство информационных технологий, связи и цифрового развития Челябинской области является исполнительным органом государственной власти Челябинской области, осуществляющим реализацию единой государственной политики в сфере развития информационного общества в Челябинской области и выполняющим функции оператора электронного правительства Челябинской области. Мы приглашаем соискателей с активной гражданской позицией, способных своей деятельностью вносить вклад в развитие нашего региона и его жителей. Мы рады видеть вас в нашей команде, если вы: Легко и продуктивно выстраиваете коммуникации. Открыты и восприимчивы к инновациям. Способны достигать результата, работая в режиме многозадачности. Активны, ответственны, ориентированы на достижение отличного результата. Легко усваиваете информацию и готовы непрерывно учиться. Мечтаете развиваться в государственной структуре и иметь причастность к профессиональной команде, быть частью которой престижно и почетно. Для вас: Стабильность и соц.гарантии в соответствии с законом . Забота: уютный офис в центре города с современной техникой и собственной обеденной зоной. Ежегодная диспансеризация за счет работодателя. Обучение: в разных форматах - очное, участие в форумах, конференциях, тренингах и мастер-классах. Ежеквартальные премии по результатам работы в размере месячной з/п. Дополнительные выплаты к отпускам и праздничным датам. Дополнительные выплаты на медицинские цели. Размер и порядок оплаты труда регулируется Федеральным законом ""О государственной гражданской службе"" и зависит от стажа работы и государственного чина. Требования: Высшее образование Опыт работы с аналитическими системами Опыт работы в сфере ИТ Умение работать с нормативно-правовой базой Обязанности: Экспертиза проектов, программ и других документов органов исполнительной власти Челябинской области в части использования информационных технологий; ежеквартальный сбор, свод и подготовка данных для представления информации о выполнении плана перехода на предоставление в электронном виде государственных услуг; ведение и реализация проектов Министерства информационных технологий, связи и цифрового развития Челябинской области; разработка конкурсной документации (документацию об аукционе), в части вопросов, входящих в компетенцию отдела; Личностные качества необходимые для успешной работы: -Системное мышление, склонность и способности к аналитической деятельности. -Аккуратность, внимательность, педантичность, пунктуальность. Условия: в соответствии с Федеральным законом от 27.07.2004 № 79-ФЗ ""О государственной гражданской службе Российской Федерации"", указом Президента РФ от 01.02.2005 N 112 «О конкурсе на замещение вакантной должности государственной гражданской службы Российской Федерации» Работа на Государственной службе. Размер и порядок оплаты труда регулируется Федеральным законом ""О государственной гражданской службе"" и зависит от стажа работы и государственного чина. График работы: 5-дневная рабочая неделя, с 08:30 до 17:30 ч Ждем ваше резюме! !Обращаем внимание соискателей - финальный выбор и прием осуществляется по результатам прохождения конкурсного отбора согласно 79 ФЗ ","Экспертиза проектов, программ и других документов органов исполнительной власти Челябинской области в части использования информационных технологий;,ежеквартальный сбор, свод и подготовка данных для представления информации о выполнении плана перехода на предоставление в электронном виде государственных услуг;,ведение и реализация проектов Министерства информационных технологий, связи и цифрового развития Челябинской области;,разработка конкурсной документации (документацию об аукционе), в части вопросов, входящих в компетенцию отдела;",1–3 года,Заместитель начальника (консультант) отдела электронного правительства в Министерстве,"Высшее образование,Опыт работы с аналитическими системами,Опыт работы в сфере ИТ,Умение работать с нормативно-правовой базой",30000,23000,полный день,"Государственные закупки,Гарант,Консультант плюс,Пользователь ПК,Государственные структуры",Полная занятость,https://tyumen.hh.ru/vacancy/39806322
Челябинск,Челябинск-Восток-Сервис,,14 октября 2020," Федеральная компания приглашает на работу СПЕЦИАЛИСТА 1С О компании: ГРУППА КОМПАНИЙ «ВОСТОК-СЕРВИС» — КРУПНЕЙШИЙ В РОССИИ И ЕВРОПЕ РАЗРАБОТЧИК, ПРОИЗВОДИТЕЛЬ И ПОСТАВЩИК СПЕЦОДЕЖДЫ, СПЕЦОБУВИ И СРЕДСТВ ИНДИВИДУАЛЬНОЙ ЗАЩИТЫ (СИЗ). ОСНОВАНА В 1992 ГОДУ. ГК «Восток-Сервис» — компания, имеющая представительства в 56 регионах России, Беларуси, Казахстане, Чехии, Словакии, Польше, Венгрии, Италии, Турции, Бельгии, Голландии, Дании, ЮАР, Финляндии, Азербайджане, Украине. Собственная производственная база ГК «Восток-Сервис» — 15 швейных, 4 обувных фабрик и 1 фабрика по производству СИЗ рук с полимерным покрытием (перчатки). Миссия компании: Поставляя современные качественные средства защиты (спецодежда, спецобувь, СИЗ), мы создаем в высшей степени безопасные и комфортные условия труда для работников любого предприятия, защищаем здоровье и жизнь человека от агрессивного воздействия неблагоприятных факторов производства и окружающей среды. Нашим кандидатам мы предлагаем : Оформление в соответствии с ТК РФ, все социальные гарантии и соц пакет Полностью белую заработную плату от 50 000 руб Пятидневный график работы (с понедельника по четверг с 8:30 до 17:30, в пятницу с 8:30 до 17:00) Место работы:проспект Ленина (начало ЧТЗ) Развоз сотрудников ОТ/ДО места работы служебным автобусом Обязанности: Сопровождение учетной системы 1С:Бухгалтерия ,1С:Зарплата и управление персоналом, Управление Торговлей Администрирование прав доступа к информационной системе (создание учетных записей пользователей, распределение ролей и прав доступа) Настройка обменов с внешними программами в автоматическом и ручном режиме Обновление измененных типовых конфигураций, работы по обмену данными с другими базами Создание внешних печатных форм, обработок, отчетов. Написание инструкций, консультирование пользователей работе с программой Участие в процедурах закрытия периода и бухгалтерской отчетности, поиск и исправление ошибок в данных, пересчёт итогов и восстановление последовательностей, чистка, тестирование Принимать участие во внедрении Автоматизированных Информационных Систем Требования: Высшее образование; Опыт программирования 1С от ; Уверенное знание платформы 8.*. Желательно разбираться в чужом коде; Опыт работы с конфигурациями ЗУП 3.0, БП 3.0, УТ 10.3. Базовые знания по работе с SQL сервером Высокая обучаемость, коммуникабельность и стрессоустойчивость Звоните и записывайтесь на собеседование сейчас!!! или откликнуться на вакансию Вы можете тут! ","Сопровождение учетной системы 1С:Бухгалтерия ,1С:Зарплата и управление персоналом, Управление Торговлей,Администрирование прав доступа к информационной системе (создание учетных записей пользователей, распределение ролей и прав доступа),Настройка обменов с внешними программами в автоматическом и ручном режиме,Обновление измененных типовых конфигураций, работы по обмену данными с другими базами,Создание внешних печатных форм, обработок, отчетов. Написание инструкций, консультирование пользователей работе с программой,Участие в процедурах закрытия периода и бухгалтерской отчетности, поиск и исправление ошибок в данных, пересчёт итогов и восстановление последовательностей, чистка, тестирование,Принимать участие во внедрении Автоматизированных Информационных Систем",3–6 лет,Консультант 1С,,,50000,полный день,"1С: Зарплата и управление персоналом,1С: Управление Торговлей,1С: Бухгалтерия,1С: Предприятие 8,1С: Производство,1С: Предприятие: Бухгалтерский Учет,Базы данных,MS SQL",Полная занятость,https://tyumen.hh.ru/vacancy/39716959
Челябинск,UNIT6,"Просторный двухуровневый офис с отдельной кухонной зоной,Возможность работать над проектами мирового уровня,Возможность создать свой стартап на базе нашей компании,Поощрение инициативности,Кухня с кофемашиной и печенками,Новые книги в нашей библиотеке,Полный рабочий день,Стабильная зарплата,Ежегодный отпуск,Официальное трудоустройство,Перспективы карьерного и зарплатного роста",8 октября 2020," Мы не делаем веб-сайты, мы делаем интернет-продукты — интернет-банки, онлайн-сервисы для пользователей крупных компаний, сложные (но удобные) интерфейсы, и много другого интересного в проектах Федерального и Мирового масштаба. Мы почти никогда не делаем разовые проекты, все наши проекты живут и развиваются, учитывают опыт своих пользователей, следят за новыми тенденциями в дизайне и проектировании. Обязанности : Проводить ручное функциональное тестирование web-интерфейса и/или мобильных приложений Сверять внешний вид на соответствие макету (часто от нас требуется пиксел-перфект) Не допускать появление ошибок у пользователя, как в новых, так и в старых частях Писать и поддерживать в актуальном состоянии тест-кейсы, тест-планы, чек-листы Локализовывать и документировать дефекты Участвовать в процессе улучшения работы QA Требования : Опыт работы тестировщиком или в аналогичной позиции, связанной с проверкой работы разработчиков Умение находить ошибки программистов Способность самостоятельно и быстро решать нестандартные задачи Оконченное высшее образование Понимание процесса разработки ПО Понимание процесса тестирования и его роли в обеспечении качества Опыт работы с тестовой документацией Самостоятельность, внимательность, ответственность, умение работать в команде Условия : Просторный двухуровневый офис с отдельной кухонной зоной Возможность работать над проектами мирового уровня Возможность создать свой стартап на базе нашей компании Поощрение инициативности Кухня с кофемашиной и печенками Новые книги в нашей библиотеке Полный рабочий день Стабильная зарплата Ежегодный отпуск Официальное трудоустройство Перспективы карьерного и зарплатного роста А еще у нас хороший и дружный коллектив, уютный офис с кофемашиной, печенками, фруктами и гироскутером. Мы проводим митапы разработчиков в Челябинске и организуем крупнейшую Челябинскую конференцию разработчиков UWDC. Полностью удаленных сотрудников сейчас не рассматриваем, у вас как минимум должна быть возможность появляться в офисе по необходимости. "," , , , , , , , , , , , ",1–3 года,Тестировщик веб-сервисов," , , , , , , , , , , , , , , , ",50000,20000,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/38993070
Челябинск,ПКСервис,,17 сентября 2020," Требования: – Знание ОС(Windows, MacOs, Linux), программ (Victoria, aida) и понимание устройства компьютера. – Умение общаться с людьми. – Диагностика неисправности аппаратной и программной части компьютерной техники. – Ремонт, настройка и модернизация ПК и ноутбуки. – Настраивать сетевое оборудование Wi-Fi, ADSL‚ подключать оргтехнику. – Умение устранять вирусы в компьютерах. Задачи: – Выезд к клиентам нашей компании. – Ремонт и настройка компьютеров и ноутбуков на дому у клиента, если ремонт сложный его возможно осуществлять у нас в сервисном центре. – Установка и настройка стандартных программ, удаление вирусов, настройка wi-fi, принтеров. – Замена неисправных комплектующих, модернизация Пк и Ноутбуков – Опыт работы в аналогичной должности обязателен. Условия: – Средний чек от 4000 руб и выше. – Для опытных мастеров специальные условия; – После стажировки з/п от 65000 руб. – Стабильный поток заявок. – Оформление по договору. ВАЖНО! Как обратиться к нам по вакансии? Связаться с нами можно только по указанному телефону с 12:00 до 19:00 с понедельника по пятницу. Спасибо, что откликнулись на нашу вакансию. Если это объявление висит, значит еще идет набор. ",,1–3 года,Мастер по ремонту компьютеров,,95000,65000,полный день,"Ремонт ПК,Настройка ПО,Настройка ПК,Настройка сетевых подключений,Windows 7,Сборка ПК,Офисная техника,Сопровождение клиентов,Windows Xp",Полная занятость,https://tyumen.hh.ru/vacancy/39289067
Челябинск,Touch-Secret,,7 октября 2020," Обязанности: Написание пресс-релизов о деятельности компании, подготовка описания для товаров, написание постов; Ведение групп в соцсетях (Вконтакте, Одноклассники, Fb, In, Twitter); Мониторинг и подготовка отчетов своей деятельности; Требования: Высшее образование; Опыт работы по данному направлению – от 1 года, Возможно без опыта; Опыт или навыки написания текстов (пресс-релизы, новости, рекламные записи, информационные посты, электронные рассылки, продающие тексты); Уверенный пользователь Интернет; Коммуникабельность; Грамотная устная и письменная речь! Вашим большим преимуществом будет знание En. Желание развиваться в текущей области; Обучаемость; Ответственность; Условия: Своевременная выплата достойной З/П. 5-дневная рабочая неделя. Оплачиваемый испытательный срок 1 мес. Мы интернет магазин и быстро развивающая компания. В компании очень дружная и приветливая атмосфера, мы все любим свою работу и развиваем наши навыки. Если вам нравиться писать, и вы хотите этим заниматься. Хотите чтобы время летело с удовольствием и незаметно. Вы нам подходите. Присылайте свои резюме на почту. Это самый быстрый способ связаться с нами, все резюме с почты рассматриваются в первую очередь. Жду ваших откликов! После прохождения предварительного этапа отбора будьте готовы к выполнению тестового задания. Необходимо будет подготовить несколько текстов для соцсетей и описание товара. ",,не требуется,Контент-менеджер интернет-магазина/Журналист,,50000,25000,полный день,"Грамотная речь,Пользователь ПК,Написание текстов,Написание пресс-релизов,Копирайтинг,Креативность,Работа с большим объемом информации,Грамотность,Поиск информации в интернет,Ведение переписки,Электронная почта,Умение работать в коллективе",Полная занятость,https://tyumen.hh.ru/vacancy/39679099
Челябинск,МеталлСервис,,8 октября 2020," Инженер Конструктор Малых форм и Арт-объектов. Инженер конструктор. Приветствуем вас на странице интересной вакансии. Планируется запуск нового модельного ряда малых форм. Для этого нам нужен конструктор, имеющий опыт работы с металлом. Опыт составления чертежей, а также со способностью творчески мыслить и воплощать это в электронном варианте. Добро пожаловать на собеседование. Обязанности: Детальная проработка проектов новых моделей. Составление сборочных чертежей. Требования: Ответственность. Пунктуальность. Навыки работы с программами проектирования. Знание и понимание тех. чертежей. Творческие способности. Стремление к результатам. Условия: Занятость полная Работа в просторном офисе с кондиционером. Стабильная з/п Гибкий график ","Детальная проработка проектов новых моделей.,Составление сборочных чертежей.",не требуется,Инженер-Конструктор Малых форм и Арт-объектов,,50000,35000,гибкий график,"AutoCAD,разработка чертежей,Проектирование,нормативно-техническая документация,Mathcad,Пользователь ПК,Творческое мышление",Полная занятость,https://tyumen.hh.ru/vacancy/39699218
Челябинск,"7 линия, digital-агентство",,16 сентября 2020," Рассмотрим кандидатов с небольшим опытом, начинающих специалистов, желающих развиваться в этой сфере. За сотрудником будет закреплён наставник, который будет заниматься обучением и консультированием по текущим вопросам. Обязанности: Проработка семантики, минусовка и пр. Разработка и ведение рекламных кампаний в системах Яндекс.Директ и GoogleAds. Аудит кампаний, аналитика, настройка целей. Подготовка кроссканальной отчётности. Требования: Приветствуются знания и опыт работы с любыми инструментами контекстной рекламой. Опыт аналитической работы в Яндекс.Метрике, GA тоже будут очень кстати. Хорошее знание русского языка. Высокая обучаемость и умение работать в режиме многозадачности. Условия: Своевременная стабильная заработная плата с перспективой повышения. Отличный loft-офис в центре города. Корпоративные мероприятия за счёт компании. Участие в интересных (в том числе собственных) проектах студии. Дружный молодой коллектив. ","Проработка семантики, минусовка и пр.,Разработка и ведение рекламных кампаний в системах Яндекс.Директ и GoogleAds.,Аудит кампаний, аналитика, настройка целей.,Подготовка кроссканальной отчётности.",не требуется,"Младший трафик-менеджер (Я.Директ, Google Ads)",,20000,20000,полный день,"Яндекс.Директ,Работа с директ командером,Контекстная реклама,Внешний аудит контекстной рекламы,Работа с системами аналитики,Google AdWords,Яндекс.Метрика,Google Analytics,Ремаркетинг",Полная занятость,https://tyumen.hh.ru/vacancy/39265327
Челябинск,Облачные решения,"Гибкий график работы после прохождения испытательного периода,Оклад обсуждается индивидуально.",7 октября 2020," Ищем Java разработчика в финтех проект MoneyCare. MoneyСare – кредитный брокер, независимый от банков и не аффилированный ни с одним из них. В рамках основного проекта развивается много интересных подпроектов. Микросервисная архитектура. Используем git, jira, gradle, docker, azure ml и др. Требования: Высшее техническое образование. Знание Java, ООП, структур данных, паттернов проектирования. Понимание KISS, SOLID и BDD. Опыт работы Java!!! разработчиком от 1 года. Spring, JDBC, REST, SOAP, JPA, Условия: Гибкий график работы после прохождения испытательного периода Оклад обсуждается индивидуально. Нет территориального ограничения рамками города Челябинска. Рассматриваем также кандидатов готовых работать удаленно. ",,1–3 года,Java-разработчик,"Высшее техническое образование.,Знание Java, ООП, структур данных, паттернов проектирования. Понимание KISS, SOLID и BDD.,Опыт работы Java!!! разработчиком от 1 года.,Spring, JDBC, REST, SOAP, JPA,",200000,60000,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39667365
