,name,класс,предпологаемая
0,Инженер-монтажник,2,2
1,Системный администратор,7,7
2,Системный администратор со знаниями программирования,7,7
3,Бизнес-аналитик,1,6
4,Ассистент менеджера IT-проектов,5,6
5,Системный администратор,7,6
6,Ведущий инженер группы баз данных оборудования и материалов,2,2
7,Специалист по тендерам,8,8
8,Системный администратор,7,8
9,Администратор ИС (Junior),3,3
10,Инсталлятор,3,3
11,Программист-аналитик,6,6
12,3D-дизайнер,3,3
13,Специалист технической поддержки,8,8
14,Специалист технической поддержки,8,8
15,Мастер настройки/Техподдержка,3,3
16,Инженер сервисного центра,2,2
17,Начинающий разработчик 1C/Junior,6,6
18,Компьютерный мастер,3,6
19,Программист,6,6
20,Системный администратор,7,6
21,Ведущий инженер,2,6
22,Инженер по сетевым технологиям,2,6
23,Сервисный инженер г. Тюмень,2,6
24,Аналитик\Технический писатель,1,1
25,Сервисный инженер в Тюмени,2,2
26,Техник подключения,3,6
27,Системный администратор,7,6
28,Технический писатель (Стажер),3,6
29,Инженер связи,2,6
30,Инженер электросвязи,2,2
31,Интернет-маркетолог,4,6
32,Системный инженер-техник ИТ,2,6
33,Сетевой инженер,2,6
34,Выездной Инженер ККТ,2,2
35,Менеджер по сопровождению клиентов,5,6
36,Дизайнер / Маркетолог,4,6
37,Специалист отдела сопровождения образовательных программ,8,6
38,Тестировщик ПО,10,10
39,Менеджер интернет-магазина,5,5
40,Инженер электросвязи 2 категории,2,2
41,Стажёр в отдел прямых продаж,3,3
42,Помощник SEO-специалиста,8,8
43,Аналитик бизнес-процессов,1,1
44,Тестировщик (ручное тестирование),10,6
45,Инженер по строительству (Телеком),2,6
46,Менеджер интернет-магазина,5,6
47,Администратор корпоративной веб-системы для проектирования [id71721],0,6
48,Системный инженер (администратор),2,6
49,Дизайнер интерфейсов (UX/UI),3,6
50,React Native developer,6,6
51,Менеджер интернет-магазина,5,6
52,Ведущий инженер группы прикладного программирования,2,6
53,Специалист отдела сервиса и гарантии (Системный администратор),7,6
54,Специалист по информационной поддержке,8,6
55,Специалист технической поддержки,8,6
56,Системный администратор,7,6
57,DevOps Engineer Linux,2,2
58,"Программист 1С (возможно, удаленное сотрудничество)",6,6
59,Менеджер по развитию услуг сервисного центра,5,6
60,Менеджер по продажам,5,5
61,Инженер связи,2,62
62,Монтажник,3,3
63,Мастер по ремонту компьютеров,3,6
64,Руководитель группы бизнес-анализа (руководитель отдела маркетинга),1,6
65,Начинающий Abap-программист / Junior Abap,6,6
66,Специалист абонентского отдела,8,6
67,Техник-электрик,3,6
68,Специалист службы поддержки Рекламной сети Яндекса,9,6
69,Ведущий инженер сектора автоматизации учета,2,6
70,Frontend-разработчик,0,0
71,Программист Python,6,6
72,Ведущий специалист отдела поддержки пользователей и рабочих мест [id52468],8,6
73,Руководитель VFX,3,3
74,Интернет-маркетолог,4,6
75,Программист 1С,6,6
76,Ведущий инженер по информационным технологиям (САПР),2,6
77,Руководитель проектов,3,6
78,Android разработчик (middle),6,6
79,Ведущий инженер отдела информационных технологий и средств связи,2,6
80,Системный аналитик,1,1
81,Персональный менеджер по работе с корпоративными клиентами,5,6
82,Интернет-маркетолог,4,6
83,Системный аналитик,1,6
84,IOS разработчик,6,6
85,Менеджер по продажам b2b,5,6
86,Электромеханик-водитель (В),3,6
87,Менеджер по продажам,5,6
88,Системный администратор,7,6
89,"Инженер, г.Тюмень",2,6
90,Менеджер по продажам (В2В),5,6
91,Администратор информационных систем,3,6
92,Руководитель проектов в IT,3,6
93,"Заместитель технического директора (экструзионный инструмент, оснастка)",3,6
94,Инженер по нормативно-технической документации пуско-наладочных работ,2,6
95,Мастер по ремонту телефонов,3,6
96,Frontend-разработчик,0,6
97,Ведущий инженер,2,6
98,Инженер-аналитик,1,6
99,Разработчик PHP,6,6
100,Менеджер по продажам (сервисный центр по ремонту мобильных телефонов),5,6
101,Специалист поддержки 1С,8,6
102,Директолог,3,6
103,Специалист по эксплуатации систем маркировки,8,6
104,Java-разработчик,6,6
105,Разработчик 1С,6,6
106,Менеджер отдела развития,5,6
107,Монтажник слаботочных систем,3,6
108,Руководитель онлайн-проекта,3,6
